codaz;lat;lon;nord;est;hsize
243BG030/1;45,9977076;10,06315315;5094356;1582326;2
243BG032/1;45,99704882;10,09010395;5094311;1584414;3
243BG033/2;45,99953433;10,09841775;5094596;1585054;32
243BG034/2;46,00258193;10,10252036;5094939;1585367;4
243BG035/1;45,99732474;10,06367528;5094314;1582367;7
243BG036/1;46,00300598;10,10241255;5094986;1585358;2
243BG041/1;46,00102145;10,08310481;5094745;1583866;0
243BG042/2;45,99642301;10,05414087;5094204;1581630;32
243BG051/1;45,99681444;10,06434992;5094258;1582420;42
243BG054/4;46,00007572;10,06690486;5094623;1582613;0
243BG058/1;45,99687105;10,08892533;5094290;1584323;3
243BG059/1;46,00317821;10,1106557;5095014;1585996;0
243BG064/1;45,99750267;10,0763986;5094347;1583352;1
243BG066/2;45,99895911;10,09081297;5094524;1584466;1
243BG074/1;45,99367169;10,06935149;5093914;1582812;52
243BG078/1;46,0030781;10,05469338;5094944;1581663;1
243BG080/3;45,99659003;10,09102471;5094261;1584486;1
243BG095/1;45,99846298;10,06441594;5094523;1582426;20
243BG097/2;46,00045056;10,08355602;5094764;1583905;0
244BG002/2;45,68205659;9,873370713;5059107;1568013;69
244BG004/1;45,68119678;9,889164133;5059025;1569244;7
244BG010/1;45,68140615;9,8783813;5059039;1568404;1
244BG016/3;45,67969165;9,88942279;5058858;1569266;2
244BG020/2;45,68408834;9,85599597;5059400;1566661;1
244BG023/1;45,67867421;9,88599123;5058742;1569000;0
244BG024/1;45,69007531;9,85443695;5059982;1566529;1
244BG061/4;45,68072192;9,877971964;5059044;1568376;1
244BG073/1;45,68542271;9,8908876;5059496;1569373;6
244BG074/1;45,67830406;9,88031014;5058696;1568558;1
245BG002/1;45,61959433;9,698819615;5052034;1554480;379
245BG003/6;45,61889421;9,708738533;5051963;1555254;221
245BG005/1;45,63720619;9,691866042;5053986;1553921;0
245BG006/2;45,62769257;9,696277507;5052932;1554274;188
245BG007/1;45,62206209;9,726018023;5052327;1556598;159
245BG010/1;45,62975886;9,710081249;5053171;1555348;224
